Designator,Mid X,Mid Y,Rotation,Layer
BRD1,100.432641,-41.742641,0.0,top
D1,92.242641,-72.742641,0.0,top
D2,102.242641,-72.742641,0.0,top
D3,112.242641,-72.742641,0.0,top
D4,122.242641,-72.742641,0.0,top
R1,138.242641,-71.282641,90.0,top
R2,138.242641,-63.301861,90.0,top
R3,138.242641,-54.822641,90.0,top
R4,138.242641,-46.841861,90.0,top
SW1,76.497808,-49.646611,270.0,top
SW2,76.526633,-68.735582,270.0,top
SW3,76.528772,-87.773709,270.0,top
SW4,95.56191,-87.773709,270.0,top
U1,125.862641,-52.362641,0.0,top
